Dirty_Dancing_Fitness_Workout_00000051.jpg 3 6
 313.6 133.6 315.0 189.1 
 287.3 136.5 274.5 161.3 
 343.4 136.5 347.7 167.7 
 275.2 165.6 282.3 188.3 
 348.4 169.2 344.8 194.7 
 312.1 96.0 315.0 124.4 
 420.2 147.8 420.2 190.5 
 403.8 149.3 383.2 167.0 
 437.9 152.1 437.9 177.0 
 381.8 171.3 394.6 192.6 
 442.2 181.2 435.1 203.3 
 417.3 120.1 419.4 137.9 
 203.4 152.1 206.2 196.2 
 187.8 154.9 182.8 179.1 
 221.2 155.6 226.1 177.7 
 182.1 183.4 184.9 202.6 
 228.3 181.9 224.7 201.8 
 201.3 127.9 201.3 145.7 
Dirty_Dancing_Fitness_Workout_00000054.jpg 3 6
 314.3 116.6 312.8 179.8 
 286.6 120.1 270.9 142.9 
 338.4 118.0 360.5 135.7 
 270.9 146.4 279.4 172.7 
 366.1 137.2 385.3 151.4 
 310.0 77.5 312.1 103.8 
 204.1 142.1 206.2 187.6 
 189.9 145.7 181.4 169.9 
 224.7 144.3 240.4 165.6 
 181.4 173.4 183.5 194.7 
 244.6 169.2 244.6 190.5 
 202.0 115.1 202.7 135.7 
 421.6 135.7 421.6 177.7 
 403.1 138.6 379.7 153.5 
 437.9 136.5 458.5 147.8 
 379.7 157.8 395.3 176.3 
 462.8 150.7 475.6 163.5 
 416.6 108.0 416.6 127.9 
Dirty_Dancing_Fitness_Workout_00000055.jpg 3 6
 313.6 115.1 310.7 175.5 
 287.3 116.6 267.4 140.7 
 341.3 115.8 369.0 125.1 
 266.7 145.0 275.9 168.4 
 371.1 128.6 393.9 132.2 
 312.8 78.2 313.6 100.9 
 204.8 141.4 209.8 186.2 
 192.7 144.3 182.1 164.9 
 223.3 142.1 241.8 152.8 
 181.4 167.7 182.1 189.1 
 244.6 155.6 255.3 172.0 
 201.3 115.8 202.7 136.5 
 421.6 135.0 422.3 177.0 
 403.8 137.9 380.4 152.8 
 439.3 132.9 464.9 137.9 
 379.7 157.1 391.0 172.0 
 471.3 139.3 490.5 145.0 
 418.0 108.0 419.4 127.2 
Dirty_Dancing_Fitness_Workout_00000057.jpg 3 6
 312.1 120.1 315.0 180.5 
 289.4 120.8 265.9 143.6 
 338.4 115.1 369.7 107.3 
 265.2 149.3 278.7 173.4 
 374.0 105.9 393.9 98.1 
 313.6 82.4 315.0 105.2 
 208.4 142.1 210.5 189.8 
 190.6 145.0 179.9 168.4 
 227.6 142.1 252.4 143.6 
 179.2 172.0 185.6 190.5 
 255.3 144.3 272.3 142.1 
 203.4 118.7 205.5 137.2 
 423.0 137.9 424.4 179.1 
 403.8 140.0 384.6 156.4 
 435.8 132.2 455.7 123.0 
 383.9 162.0 395.3 176.3 
 459.2 120.1 477.0 113.0 
 418.0 110.2 420.9 129.4 
Dirty_Dancing_Fitness_Workout_00000059.jpg 3 6
 318.5 126.5 315.7 186.9 
 291.5 130.1 266.7 147.8 
 342.0 120.1 364.0 99.5 
 264.5 154.2 276.6 177.7 
 366.1 98.8 388.2 90.3 
 313.6 91.7 316.4 115.8 
 206.2 147.1 211.2 195.4 
 192.7 150.7 179.2 173.4 
 226.1 147.1 245.3 140.0 
 181.4 177.0 185.6 195.4 
 248.2 139.3 264.5 132.9 
 204.8 123.7 206.2 140.0 
 424.4 140.0 425.8 181.9 
 406.7 142.1 386.0 159.2 
 437.2 131.5 452.1 120.8 
 385.3 162.0 398.1 179.1 
 454.3 118.7 467.8 103.1 
 418.7 109.5 420.9 130.8 
Dirty_Dancing_Fitness_Workout_00000060.jpg 3 6
 320.0 125.1 316.4 186.2 
 293.7 128.6 265.9 149.3 
 339.1 120.8 362.6 110.9 
 267.4 154.9 276.6 178.4 
 368.3 107.3 387.5 98.1 
 312.8 86.0 314.3 111.6 
 208.4 147.1 211.9 191.9 
 194.9 150.7 181.4 173.4 
 226.1 145.0 247.5 142.9 
 181.4 176.3 187.8 196.2 
 250.3 142.1 263.8 137.2 
 204.8 122.2 207.0 142.9 
 423.0 137.9 425.1 178.4 
 405.9 140.7 384.6 159.9 
 436.5 134.3 460.0 121.5 
 386.0 162.0 394.6 177.7 
 459.2 118.7 471.3 107.3 
 419.4 110.2 421.6 130.1 
Dirty_Dancing_Fitness_Workout_00000064.jpg 3 6
 313.8 121.8 312.8 179.9 
 288.6 118.9 271.2 149.9 
 344.3 124.7 361.7 148.4 
 269.3 153.3 281.4 176.5 
 365.6 153.3 371.4 178.4 
 311.4 86.5 314.3 109.7 
 211.2 142.1 211.7 185.7 
 193.3 146.0 185.6 167.8 
 230.6 145.0 243.2 166.8 
 186.5 171.2 188.5 189.1 
 246.5 169.7 248.5 194.4 
 204.0 114.1 205.4 135.9 
 422.7 142.1 423.2 184.2 
 404.3 145.0 385.9 159.6 
 444.0 145.0 461.4 158.6 
 383.5 162.0 395.1 180.4 
 462.4 159.1 473.0 173.6 
 420.3 114.6 422.7 133.9 
Dirty_Dancing_Fitness_Workout_00000065.jpg 3 6
 311.9 127.1 311.9 184.2 
 288.6 126.7 269.3 152.8 
 343.8 131.0 350.6 159.1 
 267.8 155.2 282.4 180.9 
 354.0 161.5 355.9 186.2 
 312.4 88.9 314.8 116.0 
 208.8 145.0 213.2 187.1 
 193.8 145.5 186.1 167.3 
 226.7 146.0 235.4 168.8 
 184.6 170.2 188.5 188.1 
 238.8 170.7 237.4 193.4 
 204.5 117.5 207.8 137.8 
 423.6 150.4 423.6 190.5 
 405.3 149.4 385.9 163.9 
 444.5 152.8 454.1 170.2 
 384.9 166.8 394.6 186.2 
 456.5 171.2 461.9 192.0 
 420.7 119.4 423.6 139.7 
Dirty_Dancing_Fitness_Workout_00000071.jpg 3 6
 317.7 118.9 311.4 176.0 
 291.1 118.4 271.7 142.6 
 343.3 119.4 368.5 135.4 
 271.2 144.6 280.9 168.8 
 370.9 136.3 389.3 145.5 
 314.3 80.7 316.2 106.3 
 213.2 140.7 212.2 185.2 
 196.2 141.7 188.0 166.3 
 234.9 143.6 249.0 158.6 
 186.5 169.7 189.5 189.6 
 250.9 161.0 258.6 176.0 
 210.7 113.6 212.7 134.4 
 424.6 136.8 423.6 178.9 
 406.7 138.3 386.4 152.3 
 444.5 137.3 462.4 147.5 
 384.9 155.7 397.0 174.1 
 463.3 148.9 477.4 155.2 
 423.2 108.3 424.1 128.1 
Dirty_Dancing_Fitness_Workout_00000074.jpg 3 6
 318.6 122.3 313.8 181.8 
 296.4 119.9 268.3 142.6 
 343.8 118.0 373.3 108.8 
 267.4 145.5 276.5 171.2 
 376.2 106.8 396.5 97.6 
 317.7 85.0 320.1 110.2 
 215.6 144.1 216.1 186.2 
 200.1 144.6 186.1 165.4 
 235.4 141.2 258.6 142.1 
 187.0 168.3 193.3 188.1 
 262.0 142.6 284.8 140.2 
 211.7 116.0 214.6 135.9 
 426.5 140.2 429.0 183.3 
 409.6 141.7 388.8 158.6 
 443.0 135.9 462.8 127.1 
 387.8 161.5 399.5 177.5 
 466.2 125.7 479.3 114.1 
 422.7 113.1 425.6 134.4 
Dirty_Dancing_Fitness_Workout_00000081.jpg 3 6
 316.7 122.3 316.7 182.8 
 290.6 122.8 276.5 149.9 
 348.6 125.7 367.5 149.4 
 274.6 153.3 285.7 178.0 
 369.5 150.4 380.1 171.2 
 316.7 85.5 318.2 111.7 
 216.5 138.8 216.5 182.8 
 200.1 138.8 194.3 163.0 
 236.9 141.7 250.9 164.9 
 193.3 165.4 196.7 184.2 
 254.8 168.3 255.7 188.1 
 212.2 111.2 214.6 132.5 
 423.6 144.6 425.6 185.2 
 407.2 143.1 387.4 162.0 
 443.5 144.6 459.0 160.0 
 387.8 164.9 399.5 181.8 
 458.0 163.0 471.5 175.0 
 422.2 115.0 422.7 135.4 
Dirty_Dancing_Fitness_Workout_00001056.jpg 3 6
 426.1 143.1 428.5 222.0 
 391.7 148.4 390.3 199.2 
 463.3 145.5 471.1 192.0 
 392.2 204.1 383.5 253.0 
 475.4 200.2 487.0 242.3 
 431.4 92.3 427.0 130.0 
 91.2 98.6 94.6 181.8 
 54.0 103.9 39.9 149.4 
 130.9 100.5 158.0 141.2 
 38.5 153.8 23.0 192.0 
 165.3 145.5 184.1 178.4 
 80.1 53.1 83.0 89.4 
 273.6 124.2 276.1 179.9 
 248.5 128.1 226.2 156.2 
 298.8 131.5 321.5 159.6 
 224.8 158.1 202.0 181.3 
 320.6 157.1 347.7 179.4 
 273.2 89.9 273.2 116.5 
